"","no","dates","new.cases","daily.deaths","active.cases","total.deaths","total.cases","total.recovered"
"1",1,"Mar 11",2,0,2,0,2,0
"2",2,"Mar 12",0,0,2,0,2,0
"3",3,"Mar 13",0,0,2,0,2,0
"4",4,"Mar 14",1,0,3,0,3,0
"5",5,"Mar 15",0,0,3,0,3,0
"6",6,"Mar 16",3,0,6,0,6,0
"7",7,"Mar 17",2,0,8,0,8,0
"8",8,"Mar 18",1,0,9,0,9,0
"9",9,"Mar 19",3,0,12,0,12,0
"10",10,"Mar 20",12,0,24,0,24,0
"11",11,"Mar 21",0,0,24,0,24,0
"12",12,"Mar 22",2,0,26,0,26,0
"13",13,"Mar 23",4,0,30,0,30,0
"14",14,"Mar 24",0,0,30,0,30,0
"15",15,"Mar 25",22,0,52,0,52,0
"16",16,"Mar 26",15,1,66,1,67,0
"17",17,"Mar 27",1,0,67,1,68,0
"18",18,"Mar 28",27,0,91,1,95,3
"19",19,"Mar 29",15,2,104,3,110,3
"20",20,"Mar 30",29,4,129,7,139,3
"21",21,"Mar 31",2,0,131,7,141,3
"22",22,"Apr 01",31,3,159,10,172,3
"23",23,"Apr 02",47,4,202,14,219,3
"24",24,"Apr 03",3,1,204,15,222,3
"25",25,"Apr 04",42,0,246,15,264,3
"26",26,"Apr 05",4,7,240,22,268,6
"27",27,"Apr 06",30,0,270,22,298,6
"28",28,"Apr 07",7,0,277,22,305,6
"29",29,"Apr 08",7,0,284,22,312,6
"30",30,"Apr 09",31,1,314,23,343,6
"31",31,"Apr 10",39,0,352,23,382,7
"32",32,"Apr 11",10,1,361,24,392,7
"33",33,"Apr 12",1,1,361,25,393,7
"34",34,"Apr 13",4,0,365,25,397,7
"35",35,"Apr 14",10,1,374,26,407,7
"36",36,"Apr 15",12,5,379,31,419,9
"37",37,"Apr 16",7,4,382,35,426,9
"38",38,"Apr 17",16,6,391,41,442,10
"39",39,"Apr 18",15,5,401,46,457,10
"40",40,"Apr 19",15,0,411,46,472,15
"41",41,"Apr 20",5,0,406,46,477,25
"42",42,"Apr 21",17,0,419,46,494,29
"43",43,"Apr 22",16,0,434,46,510,30
"44",44,"Apr 23",9,1,441,47,519,31
"45",45,"Apr 24",43,0,465,47,562,50
"46",46,"Apr 25",29,8,478,55,591,58
"47",47,"Apr 26",36,4,503,59,627,65
"48",48,"Apr 27",34,2,521,61,661,79
"49",49,"Apr 28",41,3,559,64,702,79
"50",50,"Apr 29",36,2,599,66,738,73
"51",51,"Apr 30",33,5,621,71,771,79
"52",52,"May 01",33,4,617,75,804,112
"53",53,"May 02",95,0,712,75,899,112
"54",54,"May 03",111,1,818,76,1010,116
